expiry_date,strike,bid,ask,option_type,quote_date,spot,risk_free_rate
2024-02-01,67.032,32.807522,33.137245,C,2024-01-02,100.0,0.0
2024-02-01,67.032,0.004366,0.00441,P,2024-01-02,100.0,0.0
2024-02-01,69.8113,30.045575,30.347541,C,2024-01-02,100.0,0.0
2024-02-01,69.8113,0.00777,0.007848,P,2024-01-02,100.0,0.0
2024-02-01,72.7057,27.17167,27.444752,C,2024-01-02,100.0,0.0
2024-02-01,72.7057,0.013871,0.01401,P,2024-01-02,100.0,0.0
2024-02-01,75.7202,24.183249,24.426297,C,2024-01-02,100.0,0.0
2024-02-01,75.7202,0.024865,0.025115,P,2024-01-02,100.0,0.0
2024-02-01,78.8597,21.079419,21.291272,C,2024-01-02,100.0,0.0
2024-02-01,78.8597,0.044809,0.04526,P,2024-01-02,100.0,0.0
2024-02-01,82.1293,17.862633,18.042157,C,2024-01-02,100.0,0.0
2024-02-01,82.1293,0.081315,0.082132,P,2024-01-02,100.0,0.0
2024-02-01,85.5345,14.542105,14.688257,C,2024-01-02,100.0,0.0
2024-02-01,85.5345,0.148965,0.150462,P,2024-01-02,100.0,0.0
2024-02-01,89.0809,11.14114,11.253111,C,2024-01-02,100.0,0.0
2024-02-01,89.0809,0.276657,0.279437,P,2024-01-02,100.0,0.0
2024-02-01,92.7743,7.714422,7.791954,C,2024-01-02,100.0,0.0
2024-02-01,92.7743,0.524899,0.530175,P,2024-01-02,100.0,0.0
2024-02-01,96.6209,4.396045,4.440226,C,2024-01-02,100.0,0.0
2024-02-01,96.6209,1.033851,1.044241,P,2024-01-02,100.0,0.0
2024-02-01,100.627,1.570406,1.586189,C,2024-01-02,100.0,0.0
2024-02-01,100.627,2.194228,2.216281,P,2024-01-02,100.0,0.0
2024-02-01,104.7991,0.212888,0.215028,C,2024-01-02,100.0,0.0
2024-02-01,104.7991,4.987993,5.038123,P,2024-01-02,100.0,0.0
2024-02-01,109.1442,0.021481,0.021697,C,2024-01-02,100.0,0.0
2024-02-01,109.1442,9.119987,9.211645,P,2024-01-02,100.0,0.0
2024-02-01,113.6695,0.002435,0.002459,C,2024-01-02,100.0,0.0
2024-02-01,113.6695,13.603595,13.740315,P,2024-01-02,100.0,0.0
2024-02-01,118.3824,0.000296,0.000299,C,2024-01-02,100.0,0.0
2024-02-01,118.3824,18.290798,18.474625,P,2024-01-02,100.0,0.0
